,idPersona,sexo,por_que_pelota_que_canta,por_que_pelota_que_canta_count_total,explica_lo_que_quiere_decir_mi_hermanito_es_una_pelota_de_gritos,explica_lo_que_quiere_decir_mi_hermanito_es_una_pelota_de_gritos_count_total,que_otra_cosa_podria_ser_una_pelota_de_pelos,que_otra_cosa_podria_ser_una_pelota_de_pelos_count_total,explica_tu_respuesta_en_la_frase_pelota_de_plata,explica_tu_respuesta_en_la_frase_pelota_de_plata_count_total,c1t,c1t_count_total,c2t,c2t_count_total,c3t,c3t_count_total,c4t,c4t_count_total,c5t,c5t_count_total,c6t,c6t_count_total,que_significa_1,que_significa_1_count_total,por_que_crees_que_si_o_no_es_posible_1,por_que_crees_que_si_o_no_es_posible_1_count_total,que_significa_2,que_significa_2_count_total,por_que_crees_que_si_o_que_no_es_posible_2,por_que_crees_que_si_o_que_no_es_posible_2_count_total,que_significa_3,que_significa_3_count_total,por_que_crees_que_si_o_que_no_es_posible_3,por_que_crees_que_si_o_que_no_es_posible_3_count_total,que_significa_4,que_significa_4_count_total,por_que_crees_que_si_o_que_no_es_posible_4,por_que_crees_que_si_o_que_no_es_posible_4_count_total,que_significa_5,que_significa_5_count_total,por_que_crees_que_si_o_que_no_es_posible_5,por_que_crees_que_si_o_que_no_es_posible_5_count_total,que_significa_6,que_significa_6_count_total,por_que_crees_que_si_o_que_no_es_posible_6,por_que_crees_que_si_o_que_no_es_posible_6_count_total,que_significa_7,que_significa_7_count_total,por_que_crees_que_si_o_que_no_es_posible_7,por_que_crees_que_si_o_que_no_es_posible_7_count_total,que_significa_8,que_significa_8_count_total,por_que_crees_que_si_o_que_no_es_posible_8,por_que_crees_que_si_o_que_no_es_posible_8_count_total,que_significa_9,que_significa_9_count_total,por_que_crees_que_si_o_que_no_es_posible_9,por_que_crees_que_si_o_que_no_es_posible_9_count_total,lista_de_valores,promedio_total
458,459,f,porque las pelotas no cantan,,quiere decir que siempre pega gritos,,un gato,,la luna tiene un color muy singular que hace que a veces la veamos de color plata,,blancas,,suave,,intensa,,frios,,se acerca,,que esta aqui,,puede que sea posible en la vida real pero es mas posible como metafora,,porque nadie nace con piernas de acero pero si alguien tiene un accidente le pueden poner unas,,un sobre hecho de papel,,porque es un sobre de papel donde puedes guardar documentos,,calendario hecho de zacate,,porque se puede hacer un calendario hecho con zacate,,carbon caliente,,porque puedes calentar el carbon,,mirada dura o sin sentimientos,,porque cualquiera puede tener una mirada sin sentimientos,,calceta hecha con plata,,porque si se hiciera una pesaria mucho y nadie la usaria,,porque alguien la puede llevar de un lugar a otro,,llega a un lugar,,que pueden volar,,porque asi es la realidad,,la noche siempre llega,,porque todos lo dias hay momentos en los que el sol se oculta y la luna llega. asi es como la noche llega,,,
459,460,f,una persona que canta,,una persona que grita,,la vida,,la vida porque vale mucho,,blancas como la leche,,suave,,"candente, que esta muy bonita",,tristes o enojados,,"ya viene osea esta cerca, hay sol y todo es muy calido",,que la epoca de navidad ya esta y jesus nace,,que sus piernas son fuertes,,porque es una metafora,,un sobre hecho de papel,,porque es verdad,,un calendario hecho de hojas de zacate,,porque puede pasar,,carbon de una parrilla caliente porque esta en el fuego algo muy intenso y ardiente,,porque lo puedes calentar,,unos ojos que reflejan a alguien enojado o molesto porque se dice que los ojos son la ventana del alma,,porque es una metafora y es posible reflejar amargura a traves de los ojos,,calceta color plata,,porque es una metafora,,si es posible de forma metaforica comparando a una persona con un cebolla,,una persona que huele feo y tiene muchas capas en su interior y llega a un lugar,,las gaviotas son aves,,porque las aves vuelan,,quiere decir que esta apunto de obscurecer es decir cuando esta el atardecer y el sol se oculta y la luna sale,,porque pasa a diario,,,
460,461,f,alguien alegre que canta.,,el hermano que grita.,,un perro.,,alguien que es fuerte o mercurio color plata.,,blancas y gaseosas.,,suave,,fija,,grandes,,calor,,la fiesta y felicidad llego.,,que tiene piernas super fuertes y duras.,,si porque hay mucha gente que tiene piernas fuertes o de acero.,,no me parece algo logico.,,no se me hace logico.,,creo que es de que los dias pasan rapido.,,si porque depende de cada persona para mi pasan rapido los dias.,,cuando alguien esta muy enojado. (creo),,si porque todos se enojan.,,cuando alguien esta malhumorado y tiene los ojos durmiendo.,,"si, porque todos tienen ojos amargos en la manana.",,una persona que es fuerte.,,si. las mujeres son fuertes.,,si llega la esperanza.,,que llega la esperanza.,,de que todo es posible si crees en ti.,,si porque todo se cumple si crees.,,de algun dia moriras.,,todos moriran algun dia.,,,
461,462,f,porque puede que haga mucho ruido,,que es alguien que no para de gritar,,un hamster,,es muy valioso,,muy blancas,,muy suave,,muy atractiva,,muy serios,,casi llega,,que la navidad esta aqui,,esta muy fuertes las piernas,,porque las piernas pueden ser implantes para aquellos que no tienen piernas,,que el sobre es muy delgado,,porque se puede hacer,,que el calendario esta muy sucio,,por que no,,que esta muy caliente el carbon,,porque se le prende fuego y arde,,que son muy serios,,porque se pu,,que la calceta esta muy alta de precio,,porque no se puede hacer una calceta de plata ya que es muy tiesa,,porque se siente el sabor y de ahi es el llega,,que sabe la cebolla mucho en un platillo,,que son libres,,porque son un ave,,que esta obscureciendo,,porque todos los dias obscurece el ambiente,,,
462,463,f,porque se esta comparando con palabra que es pelota con las personas o cosas que estan alrededor de yo.,,"quiere decir que los hermanos se gritan y lloran porque son menores en las casas, y se comparo en una pelota.",,perro.,,"mi mama, porque la plata es joya, precioso, importante. es mi mama porque es muy importante en mi vida.",,"como algodones de azucar, o panes.",,suaves como las sedas.,,ojos mirando como si fuera su ojo como fuego.,,"ojos que se ven enfermos, o triste.",,"los arboles empiezan a ser verdes, temperaturas calientes vienen.",,que la fecha de navidad llego.,,piernas fuertes como un acero,,"si, porque quiere decir que tiene mucho fuerza en las piernas.",,un sobre hecho de papel,,"si, porque los sobre para meter algo se hace usualmente con papeles.",,calendario hecho en periodos pasados.,,"si, porque los calendarios si existen, habia diferentes calendarios, y es uno de ellos.",,"carbon que es muy caliente, que se arde.",,"si, porque cuando te quemas el carbon en fuego se hace caliente y se arden.",,ojos que duelen de una manera que es amargo.,,"si, porque los ojos pueden doler cuando se lastiman y una de ellas es cuando los ojos son amargos.",,calcetas hecho en plata.,,"si, porque las calcetas pueden ser de muchas formas, y plata se puede transformar como una calceta porque si se puede cambiar de forma.",,"si, porque la cebolla es picante y las lagrimas pueden venir.",,"las lagrimas pueden venir, porque es picante.",,los pajaros llamados gaviotas vuelan.,,"si, porque las gaviotas si existen y son pajaros, pueden volar.",,"cuando pasa el sol que estaba durante la tarde, la luna llega y viene la noche.",,"si, porque noche existe despues de la tarde, y cuando se pasa sol la noche se llega.",,,
463,464,f,meaning her mom is someone who sings a lot or maybe someone who is very energetic like someone from a musical.,,that maybe her sister always screams to her,,a person that wears animal fur,,"friends are very valuable in my opinion like silver, but you cannot get it for free and you may apply a scar to it. most importantly before you can love a friend gold menaing loving yourself is the 1st thing you must do",,soft,,NS,,NS,,bitter solor,,NS,,something merry,,when a person does not have a leg they apply a steel leg so they can walk,,because i have learned and seen a person that has a steel leg,,an envelope made out of paper,,because i have seen it with my own eyes,,"instead of using a paper and ink to print it they
 are using a different material to create a calender",,because no one said we have to print it on the dry grass. it just says to create a calender so if you create it in a different way anything is possible.,,a coal on fire,,because we use coal for grilling or for moving the trains sometimes,,eyes with a bitter color or maybe when someone is lokking at someone in a b itter way.,,because it is a metaphor,,a sock that is very pretty or expensive,,it is a metaphor,,it is a metaphor,,when someone that is not very good to everyone comes. then everyone starts crying.,,the seagulls are flying to search for fish or their food,,because it is a metaphor,,it could mean that the night is literally coming or maybe a dark night is coming for someones emotions etc...,,because any metaphor is,,,
464,465,f,porque es un objeto,,que es un bebe que grita mucho,,un perro,,la luna,,delicada,,bonitas,,frios,,calida,,va muy lento,,pasa muy rapido el tiempo,,color miel,,porque es un color,,un collar de perlas,,porque existen,,NS,,porque no existe,,que no es dulce,,porque existe,,abrazos bonitos,,porque si existen,,no se,,porque no se,,NS,,NS,,que el tren va rapido,,porque es un frase comun,,los dias pasan rapido,,porque si es cierto,,,
465,466,f,porque tu mama no es redonda,,que siempre esta gritando,,mi perro,,la luna es plateada,,muy blanca y devil,,color oro,,sin sentimientos,,una sonrisa con sentimiento,,que no se le pasa rapido,,que el tiempo se pasan muy rapido,,ojos color color cafe claro,,no literalmente hechos de miel pero color claro,,un collar hecho de perlas,,"si existen collares hechos de perlas, los he visto",,que es muy fragil,,no porque no serviria,,que tiene sal,,"si, lo he probado",,que se disfrutan,,"si, porque si",,que no sabe a nada,,no pruebo los lapices,,los hornos no se mueven,,no se,,que el tren se mueve,,"si, los trenes se hicieron para moverse",,que van pasando,,"si, los dias pasan",,,
466,467,f,por que yo no le encuentro el sentido,,que no deja de gritar,,feo?,,vale mucho,,de papel?,,bellas,,frios,,tibia,,va lento,,el tiempo pasa rapido,,el color de los ojos,,por genetica,,un collar con perlas,,por que asi es,,algo fragil?,,no hay tal cosa,,comida que en vez de ser dulce es salada,,por que lo comemos a diario,,un abraza de alguien especial?,,por quererlo?,,que estas loco si estas probando un lapiz,,para que hacer lapices con sabor?,,se acerca la muerte,,metafora,,que transporta gente,,"el tren se traslada no viaja, no es una persona",,metafora pasa rapido el tiempo,,por que es tiempo,,,
467,468,f,una pelota no canta.,,mi hermanito grita mucho.,,cabello enredado,,pues tal vez la medalla esta llena de plata.,,puede ser suave o arrugada si esta arrugado el papel.-,,flores amarillas o muy bonitas.,,pues corazones que no sienten o tienen pocos sentimientos.,,sonrisa un poco seria.,,la persona percibe que el tiempo pasa muy lento o que tarda mucho en acabar.,,que el tiempo pasa muy rapido.,,ojos color dorado o color de la miel.,,"si, porque alguien si puede tener los ojos de ese color.",,un collar hecho de perlas.,,"si, porque los collares de perla si existen.",,que una escoba esta hecha de cristales.,,porque una escoba no puede estar hecha de cristales.,,que la comida es muy salada o sabe a sal.,,"si, porque alguna comida si puede estar mas salada de lo normal.",,un abrazo significativo y calido.,,"si, porque un amigo te puede dar un abrazo suave y significa carino.",,que el lapiz no sabe a nada si lo muerdes.,,porque si muerdes un lapiz no va a saber a nada.,,"no, los hornos no se mueven.",,que los hornos de estan moviendo mas cerca uno del otro.,,que el tren va a diferentes lados.,,porque un tren si puede ir a diferentes lados.,,que el tiempo todos los dia esta pasando muy rapido.,,"si, porque puede ser que alguien piense que el tiempo va mas rapido de lo normal.",,,
468,469,f,"la pelota puede tener un significado como una metafora pero si lo leemos y lo pensamos con sentido comun, esto no tiene sentido.",,puede significar que el hermano es ruidoso.,,podria ser la cabeza.,,yo puse que la frase se podria referir a la luna debido a su color y lo brillante que es.,,la piel puede ser delicada y fragil.,,las flores pueden tener un color atractivo y que sea valioso.,,la persona tiene un caracter frio que no le importe los pensamientos y sentimientos de los demas.,,la sonrisa es una sonrisa de verdad y demuestra amor o amistad.,,el ano se siente largo por ejemplo cuando es aburrido o cuando ocurren problemas.,,que el tiempo pasa mas rapido de que lo pensamos.,,puede ser una metafora que signifique que la mirada es dulce.,,"porque si lo leemos de una manera literaria donde aplicamos las metaforas, la frase tiene sentido, pero si lo vemos de una manera logica, esta frase no es posible que pase.",,que los collares llevan perlas.,,yo creo que esta frase no aplica alguna metafora donde las perlas signifiquen algo mas.,,no tiene significado,,la escoba no se puede relacionar con el cristal. el cristal no tiene nada en comun con la escoba.,,que la comida lleve demasiada sal.,,es posible pero no lleva metaforas.,,lleva una metafora de que el abrazo no fue fuerte y fue agradable.,,los abrazos pueden ser suaves.,,tal vez significa que ya no funcione o que lo escrito no da alguna sensacion.,,porque la palabra sabor puede que no signifique el sabor del sentido del gusto.,,no se relacionan.,,no tiene sentido.,,que el tren va de un lugar a otro.,,porque los trenes fueron creados para viajar.,,que los dias pasan rapido y falta poco para algo.,,porque muchas personas utilizan esta frase para describir que el tiempo es rapido.,,,
469,470,f,porque las pelotas no hablan,,que grita mucho,,perro,,que es brillante,,pues fina y blanca,,de oro,,frios,,tibia,,lentitud,,que pasan rapido,,que tienes los ojos color miel,,yo creo que si porque puedes tener el color de ojos como el de la miel,,NS,,NS,,no se,,yo digo que no porque la escoba no es de cristal,,que no es dulce bruh ... cier,,si porque hay comida salada,,pues que son abrazos delicados,,si porque son delicados,,que estan malos de sabor ya que siempre los pruebas y como que no te gusta,,no porque no vas por la vida comiendolos,,no porque no caminan,,que no se acercan,,que el tren viaja,,si porque entonces para que servirian,,que los dias pasan,,si porque se pasan rapido,,,
470,471,f,"porque las pelotas no tienen voz ni pueden cantar, sin embargo, cuando lo pones en el poema si tiene sentido porque esta diciendo que todo es una pelota",,"esta usando la palabra pelota para todo, asi ue podemos pensar que su hermanito simplemente es muy griton",,un gato,,"porque ya establecimos que a todo le esta diciendo pelota, y los collares pueden ser de plata",,muy palida,,amarillas y muy bonitas,,son insensibles y no son muy considerados con los sentimientos,,amable y pues que sientes que te esta recibiendo,,"no ocurre nada, es un ano normal que a alguien se le esta haciendo muy pesado",,que el tiempo pasa muy rapido,,que los ojos de esa persona son cafe claro,,"porque decir ojos de miel es figurado, nadie puede tener ojos hechos de miel.",,que el collar esta hecho de perlas.,,porque es muy popular usar collares hechos usando perlas .,,que la escoba esta hecha de cristal,,"creo que es posible porque, si alguien quisiera, podria hacer una escoba de cristal, aunque no creo que lo hayan hecho antes y no es muy recomendable, es posible.",,que no es dulce.,,"es posible porque la comida salda es a la que se le pone sal y se nota, porque no es dulce.",,un abrazo sin mucha fuerza,,"es posible porque si das un abrazo sin mucha fuerza, seria suave.",,que el lapiz no tiene ningun sabor si te lo metes en la boca,,"no es posible porque todo menos el agua tiene alguna especie de sabor, aunque no sea comestible.",,"no es posible porque los hornos son objetos estaticos que logicamente no pueden moverse, pero nosotros podemos movernos hacia el horno, y se podria decir que los hornos se acercan.",,significa que un horno se esta moviendo hacia ti o tu hacia el horno,,que el tren esta moviendose,,"si es posible porque viajar es trasladarse, y eso es precisamente lo que hacen los trenes.",,que los dias pasan,,"es posible porque es un dicho que significa que los dias pasan, pero en el sentido literal logicamente los dias no pueden correr ni hacer ninguna otra actividad fisica",,,
